gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CLV,AvgMonthlyCharges,ServiceCount,TenureGroup,ChargeGroup,Churn
1,1,1,0,13,1,2,1,2,2,0,0,0,2,0,0,1,93.8,1261.0,1219.3999999999999,90.07142857142857,10,1,2,0
1,1,0,0,19,1,2,1,0,2,0,0,2,0,0,1,2,88.2,1775.8,1675.8,88.78999999999999,8,1,2,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,657.6,19.834848484848482,9,2,0,0
0,1,1,0,71,1,2,0,2,2,2,2,0,2,2,1,0,82.7,5831.2,5871.7,80.98888888888888,13,3,2,0
1,0,0,0,63,1,2,1,0,2,2,0,2,2,2,1,0,104.75,6536.5,6599.25,102.1328125,12,3,3,0
0,0,0,0,56,0,1,0,0,0,0,0,2,2,0,1,1,44.85,2564.95,2511.6,44.99912280701754,5,3,1,0
1,0,0,1,1,1,0,0,0,0,0,2,0,2,0,1,3,59.55,59.55,59.55,29.775,5,0,1,0
1,0,0,0,38,1,2,0,2,2,2,2,0,0,0,0,2,69.95,2657.55,2658.1,68.1423076923077,11,2,2,0
1,0,0,0,39,1,2,1,2,2,0,0,2,2,0,1,2,106.4,4040.65,4149.6,101.01625,12,2,3,0
0,0,1,1,12,1,0,2,1,1,1,1,1,1,0,0,0,19.4,198.1,232.79999999999998,15.238461538461538,9,0,0,0
1,0,1,0,22,1,0,1,0,0,2,0,2,0,0,1,0,87.0,1850.65,1914.0,80.46304347826087,6,1,2,0
1,0,1,1,17,1,2,1,0,0,0,0,2,2,0,1,2,92.55,1515.1,1573.35,84.17222222222222,8,1,2,1
0,0,0,0,28,0,1,0,0,0,2,2,0,0,0,1,3,35.75,961.4,1001.0,33.15172413793103,5,2,1,0
1,0,1,1,60,1,2,1,0,2,0,2,2,2,0,1,0,103.75,5969.95,6225.0,97.86803278688524,12,3,3,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,46.0,492.1,460.0,44.73636363636364,1,0,1,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4747.5,4675.0,93.08823529411765,10,3,2,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.25,864.2,885.5,18.387234042553192,9,2,0,0
0,1,1,0,31,0,1,0,2,2,2,0,0,2,1,1,1,50.4,1580.1,1562.3999999999999,49.378125,9,2,1,0
0,0,1,1,16,1,2,1,2,0,2,2,2,2,0,1,2,112.95,1882.55,1807.2,110.73823529411764,14,1,3,0
0,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,1,20.9,689.35,647.9,21.5421875,9,2,0,0
1,1,1,1,41,1,2,1,0,2,2,2,2,2,1,1,2,111.95,4534.9,4589.95,107.97380952380952,14,2,3,1
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,76.85,663.55,691.65,66.35499999999999,4,0,2,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,2,0,3,19.7,130.25,157.6,14.472222222222221,9,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,25.1,25.1,25.1,12.55,1,0,0,1
0,0,1,1,65,1,2,1,2,0,2,2,2,2,2,0,2,109.3,7337.55,7104.5,111.175,14,3,3,0
1,0,1,1,4,1,0,2,1,1,1,1,1,1,0,1,3,20.5,77.6,82.0,15.52,9,0,0,0
1,0,1,0,70,1,2,0,2,0,0,2,2,2,2,1,1,76.95,5289.8,5386.5,74.50422535211268,11,3,2,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,87.55,6463.15,6303.599999999999,88.53630136986301,15,3,2,0
0,0,0,0,13,1,2,1,0,0,0,0,0,0,0,1,3,75.0,999.45,975.0,71.38928571428572,4,1,2,1
1,1,1,0,68,0,1,0,2,2,2,0,0,0,2,1,2,41.95,2965.75,2852.6000000000004,42.981884057971016,7,3,1,0
0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,1345.75,1334.7,70.82894736842105,4,1,2,0
1,0,1,1,31,1,2,2,1,1,1,1,1,1,2,0,3,25.75,755.6,798.25,23.6125,11,2,0,0
0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1029.8,951.75,21.454166666666666,9,2,0,0
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,184.65,164.0,61.550000000000004,6,0,2,1
0,0,0,0,15,1,0,0,0,0,0,0,2,0,1,0,3,56.15,931.9,842.25,58.24375,3,1,1,0
1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,69.15,488.65,484.05000000000007,61.08125,2,0,2,0
1,0,0,0,44,0,1,0,0,2,2,0,2,2,1,1,3,53.95,2375.4,2373.8,52.78666666666667,9,2,1,1
0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1326.35,1409.3500000000001,18.421527777777776,9,3,0,0
1,0,1,1,69,1,2,1,0,2,2,0,2,2,2,1,2,105.0,7297.75,7245.0,104.25357142857143,12,3,3,0
0,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6,3517.4999999999995,69.28627450980392,2,3,2,0
1,0,0,0,69,1,0,2,1,1,1,1,1,1,2,0,1,19.95,1399.35,1376.55,19.990714285714283,9,3,0,0
0,0,0,0,4,1,2,1,0,2,0,0,0,0,0,1,3,80.3,324.2,321.2,64.84,6,0,2,0
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,75.3,75.3,75.3,37.65,4,0,2,1
1,1,1,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.25,1233.65,1238.25,88.11785714285715,8,1,3,1
0,0,0,0,15,1,0,0,0,0,2,0,0,2,0,1,2,59.45,892.65,891.75,55.790625,5,1,1,1
0,0,0,0,71,1,2,1,2,2,2,2,2,2,2,1,2,118.65,8477.6,8424.15,117.74444444444445,16,3,3,0
1,0,1,1,30,1,2,1,2,2,0,0,2,0,0,1,2,94.4,2838.7,2832.0,91.57096774193548,10,2,2,1
1,0,0,0,3,0,1,0,2,0,2,2,0,0,0,0,3,41.35,107.25,124.05000000000001,26.8125,7,0,1,0
0,0,1,1,23,1,2,0,2,0,2,2,2,0,2,1,0,77.15,1759.4,1774.45,73.30833333333334,11,1,2,0
0,0,0,0,38,1,0,2,1,1,1,1,1,1,1,0,3,19.3,755.5,733.4,19.371794871794872,9,2,0,0
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,30.2,15.1,3,0,0,1
1,0,1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,19.85,0.0,0.0,0.0,9,-1,0,0
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,92.0,6782.15,6624.0,92.90616438356165,15,3,2,0
1,1,1,1,22,0,1,0,2,0,0,0,0,2,0,0,3,40.05,880.2,881.0999999999999,38.2695652173913,5,1,1,1
1,0,1,0,10,1,0,0,2,0,0,2,0,0,0,1,1,54.95,568.85,549.5,51.71363636363637,5,0,1,0
0,0,0,0,20,1,2,1,2,0,0,0,2,0,0,1,0,89.1,1879.25,1782.0,89.48809523809524,8,1,2,0
0,0,1,1,20,1,0,2,1,1,1,1,1,1,0,0,3,20.35,442.6,407.0,21.076190476190476,9,1,0,0
1,0,0,0,24,1,0,0,2,0,0,0,0,0,0,1,0,49.55,1210.4,1189.1999999999998,48.416000000000004,3,1,1,1
1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,101.15,3741.85,3843.7000000000003,95.94487179487179,10,2,3,0
1,0,0,0,20,1,2,1,0,0,0,2,2,2,0,1,3,98.55,2031.95,1971.0,96.75952380952381,10,1,3,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.0,20.0,20.0,10.0,9,0,0,0
0,0,1,0,2,0,1,0,0,0,0,0,2,2,0,0,2,44.6,97.1,89.2,32.36666666666667,5,0,1,1
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,76.95,228.4,230.85000000000002,57.1,4,0,2,1
1,0,1,1,59,1,0,0,2,2,2,2,2,2,2,1,2,86.75,5186.0,5118.25,86.43333333333334,13,3,2,0
1,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,1,19.45,754.5,700.1999999999999,20.39189189189189,9,2,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,81.95,81.95,81.95,40.975,4,0,2,1
1,1,1,0,69,0,1,0,2,2,0,0,2,2,2,0,1,56.55,3952.65,3901.95,56.46642857142857,9,3,1,0
0,1,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,82.0,1127.2,1066.0,80.51428571428572,6,1,2,1
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,3036.75,3161.4,89.31617647058823,8,2,3,1
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,1073.8,19.300943396226415,9,3,0,0
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,40.2,20.1,5,0,1,1
0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,0,25.2,1787.35,1814.3999999999999,24.484246575342464,11,3,0,0
0,0,0,0,18,1,0,1,0,2,2,0,0,0,0,0,2,77.8,1358.6,1400.3999999999999,71.50526315789473,6,1,2,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,19.8,1414.65,1425.6000000000001,19.378767123287673,9,3,0,0
0,0,0,0,22,0,1,0,0,2,0,0,2,2,0,1,2,50.35,1098.85,1107.7,47.77608695652174,7,1,1,0
1,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,3,45.65,985.05,958.65,44.775,1,1,1,0
0,0,1,1,7,1,0,2,1,1,1,1,1,1,1,0,3,20.65,134.05,144.54999999999998,16.75625,9,0,0,0
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,19.4,168.65,135.79999999999998,21.08125,9,0,0,0
0,0,1,1,9,1,0,0,0,2,0,2,2,0,1,1,3,65.6,593.3,590.4,59.33,7,0,2,0
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603.0,6514.200000000001,103.171875,12,3,3,1
0,0,1,0,46,1,2,1,0,2,2,2,2,2,2,1,1,108.9,4854.3,5009.400000000001,103.28297872340426,14,2,3,0
0,0,1,1,61,1,0,0,2,0,0,0,0,0,1,1,0,49.7,2961.4,3031.7000000000003,47.76451612903226,3,3,1,0
1,0,1,1,12,1,0,2,1,1,1,1,1,1,2,0,0,21.05,262.05,252.60000000000002,20.157692307692308,9,0,0,0
0,0,0,0,34,1,2,1,0,0,0,0,2,0,0,0,2,85.35,2896.6,2901.8999999999996,82.75999999999999,6,2,2,0
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,846.65,19.88452380952381,9,2,0,0
1,0,0,1,27,1,2,2,1,1,1,1,1,1,2,1,1,25.85,788.55,697.95,28.162499999999998,11,2,0,0
0,0,0,0,16,1,0,1,0,2,2,0,0,2,0,1,1,93.2,1573.7,1491.2,92.57058823529412,8,1,2,1
1,0,1,0,2,1,0,0,0,2,0,2,0,2,0,1,3,64.2,143.65,128.4,47.88333333333333,7,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,44.15,44.15,44.15,22.075,1,0,1,0
1,0,0,0,52,1,2,1,2,0,2,2,2,2,2,1,2,109.3,5731.4,5683.599999999999,108.13962264150943,14,3,3,0
1,0,0,0,17,1,0,1,0,2,2,0,0,2,0,1,1,90.95,1612.2,1546.15,89.56666666666666,8,1,2,0
1,0,0,0,46,0,1,0,0,0,2,2,0,0,1,0,1,33.7,1537.85,1550.2,32.72021276595744,5,2,0,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.1,20.1,20.1,10.05,9,0,0,1
1,0,0,0,48,1,0,2,1,1,1,1,1,1,2,0,1,20.15,982.95,967.1999999999999,20.060204081632655,9,2,0,0
0,0,1,0,6,1,0,0,0,0,0,2,0,0,0,1,2,49.15,270.8,294.9,38.68571428571429,3,0,1,1
1,1,1,0,48,1,2,1,0,0,2,0,0,2,0,1,1,91.05,4370.75,4370.4,89.19897959183673,8,2,2,0
0,0,0,1,25,1,0,2,1,1,1,1,1,1,0,0,1,20.05,471.7,501.25,18.142307692307693,9,2,0,0
0,0,1,0,40,1,2,0,0,2,0,0,2,0,1,0,0,63.9,2635.0,2556.0,64.26829268292683,7,2,1,0
1,0,0,0,14,1,2,0,0,2,0,0,0,0,0,1,1,55.5,767.55,777.0,51.169999999999995,5,1,1,0
0,1,1,0,66,1,2,1,0,2,2,2,2,2,1,1,1,108.1,7181.95,7134.599999999999,107.19328358208955,14,3,3,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,673.4,79.9625,8,0,3,0
1,1,1,0,72,1,0,0,2,2,2,2,2,0,2,0,0,74.4,5360.75,5356.8,73.43493150684931,11,3,2,0
0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,1,3,70.15,886.7,911.95,63.33571428571429,2,1,2,0
0,0,0,0,5,1,0,1,0,2,0,0,2,0,0,1,3,85.3,420.45,426.5,70.075,6,0,2,0
1,0,1,0,66,1,2,0,2,2,0,2,2,2,2,0,2,85.25,5538.35,5626.5,82.66194029850747,13,3,2,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,1,2,93.85,635.6,656.9499999999999,79.45,8,0,2,1
1,0,1,1,45,1,2,2,1,1,1,1,1,1,2,0,3,24.45,1088.25,1100.25,23.657608695652176,11,2,0,0
0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,2261.25,48.29456521739131,3,2,1,0
1,0,1,1,35,1,2,1,0,2,0,0,2,0,0,1,0,89.65,3161.6,3137.75,87.82222222222222,8,2,2,0
0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,3,44.25,313.45,309.75,39.18125,1,0,1,0
0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,3,50.95,123.05,101.9,41.016666666666666,3,0,1,0
1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,1,3,69.55,284.9,278.2,56.98,2,0,2,0
0,0,0,0,42,1,0,0,2,2,0,2,0,2,1,1,3,67.7,2882.25,2843.4,67.02906976744185,9,2,2,0
0,0,1,1,72,1,2,1,0,2,2,2,0,2,2,1,0,98.65,7129.45,7102.8,97.66369863013698,12,3,3,0
0,0,0,0,3,1,0,1,0,0,0,2,0,2,0,0,2,85.8,272.2,257.4,68.05,6,0,2,1
0,0,1,1,70,1,0,2,1,1,1,1,1,1,2,0,0,19.8,1378.75,1386.0,19.419014084507044,9,3,0,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,2559.9,57.2095744680851,3,2,1,0
0,0,0,0,39,1,2,1,0,2,2,0,2,2,0,1,2,103.45,3994.45,4034.55,99.86125,12,2,3,1
1,0,0,1,69,1,2,0,2,2,2,2,2,0,2,1,1,79.45,5502.55,5482.05,78.60785714285714,13,3,2,0
1,0,1,1,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15,150.45,42.0375,3,0,1,1
0,0,1,1,69,0,1,0,2,2,2,2,0,0,2,0,0,46.25,3121.4,3191.25,44.59142857142857,9,3,1,0
1,0,0,0,21,1,0,2,1,1,1,1,1,1,1,1,3,20.35,422.7,427.35,19.213636363636365,9,1,0,0
1,0,1,1,54,1,2,0,0,2,0,2,2,0,1,1,2,70.7,3770.0,3817.8,68.54545454545455,9,3,2,0
1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,2,69.8,377.85,418.79999999999995,53.978571428571435,2,0,2,0
1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,1,2,81.05,81.05,81.05,40.525,4,0,2,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,43.85,43.85,43.85,21.925,1,0,1,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.7,73.05,82.8,14.61,9,0,0,0
1,0,1,1,69,1,2,0,0,2,2,2,2,2,2,1,0,81.95,5601.4,5654.55,80.02,13,3,2,0
1,0,1,0,70,1,0,1,2,2,0,2,0,0,2,0,0,84.6,5706.2,5922.0,80.36901408450704,8,3,2,0
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,2025.3999999999999,96.7225,12,1,3,1
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,74.5,217.45,223.5,54.3625,4,0,2,0
1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,1,29.8,94.4,89.4,23.6,3,0,0,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,5098.5,109.39673913043478,16,2,3,0
0,0,0,0,70,1,2,1,2,2,2,0,2,2,2,1,3,111.15,7737.55,7780.5,108.97957746478873,14,3,3,0
1,0,0,0,63,1,0,0,2,2,2,2,2,2,2,1,0,86.7,5309.5,5462.1,82.9609375,13,3,2,0
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,50.7,50.7,50.7,25.35,3,0,1,0
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,3015.75,2982.0,73.5548780487805,9,2,2,0
0,0,1,1,14,1,2,2,1,1,1,1,1,1,0,0,3,25.55,372.45,357.7,24.83,11,1,0,0
1,0,0,0,28,1,2,1,0,2,0,0,2,2,1,0,2,100.2,2688.45,2805.6,92.7051724137931,10,2,3,0
1,0,0,0,20,1,2,1,0,0,2,0,2,0,0,1,1,90.7,1781.35,1814.0,84.82619047619048,8,1,2,0
1,0,0,0,66,1,2,0,2,2,2,0,0,2,2,1,1,74.6,4798.4,4923.599999999999,71.61791044776119,11,3,2,0
0,0,1,0,42,1,2,1,0,0,2,2,0,0,0,1,2,84.3,3588.4,3540.6,83.45116279069768,8,2,2,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.9,20.9,20.9,10.45,9,0,0,1
1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3,203.5,16.027272727272727,9,0,0,0
0,0,0,0,2,1,2,1,0,0,2,0,2,0,0,1,2,91.4,193.6,182.8,64.53333333333333,8,0,2,1
1,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,2,51.55,765.5,773.25,47.84375,3,1,1,1
1,1,1,0,64,1,2,2,1,1,1,1,1,1,2,0,1,25.65,1740.8,1641.6,26.78153846153846,11,3,0,0
1,0,0,0,14,1,0,2,1,1,1,1,1,1,0,1,2,20.05,299.3,280.7,19.953333333333333,9,1,0,0
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,90.15,6716.45,6490.8,92.00616438356164,15,3,2,0
1,0,0,0,39,1,2,1,0,0,0,0,0,0,0,0,2,75.25,3017.65,2934.75,75.44125,4,2,2,1
0,1,1,0,60,1,2,1,2,2,2,2,2,2,2,1,0,116.05,6925.9,6963.0,113.53934426229507,16,3,3,0
0,0,1,0,30,1,2,1,0,2,0,2,2,0,0,1,1,94.1,2804.45,2823.0,90.46612903225805,10,2,2,1
1,0,0,0,34,1,2,1,2,2,2,2,2,2,1,0,1,116.25,3899.05,3952.5,111.40142857142858,16,2,3,0
0,0,0,0,19,1,2,2,1,1,1,1,1,1,0,0,0,24.7,465.85,469.3,23.2925,11,1,0,0
1,1,0,0,42,1,2,1,0,2,0,0,0,0,0,1,0,79.35,3344.1,3332.7,77.76976744186047,6,2,2,0
1,0,1,0,66,1,2,1,0,2,2,0,0,2,1,0,2,95.3,6273.4,6289.8,93.63283582089552,10,3,3,0
1,0,0,0,35,1,2,2,1,1,1,1,1,1,0,1,2,25.6,901.25,896.0,25.03472222222222,11,2,0,0
0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.4,204.7,211.20000000000002,51.175,2,0,2,1
0,0,0,0,38,1,2,2,1,1,1,1,1,1,1,1,2,24.25,914.4,921.5,23.446153846153845,11,2,0,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,68.95,119.75,137.9,39.916666666666664,2,0,2,1
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,78.95,78.95,78.95,39.475,4,0,2,1
1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,1,2,51.35,262.3,256.75,43.71666666666667,3,0,1,0
1,0,0,0,41,1,0,1,0,2,0,2,2,2,2,1,1,99.65,4220.35,4085.65,100.48452380952382,10,2,3,0
0,0,0,1,22,0,1,0,0,0,2,0,2,2,1,1,1,49.45,1031.4,1087.9,44.84347826086957,7,1,1,0
0,0,1,1,22,1,0,0,0,2,0,2,0,0,0,0,2,55.15,1206.05,1213.3,52.43695652173913,5,1,1,1
1,1,1,0,55,1,2,1,0,2,2,2,2,2,2,1,2,113.6,6292.7,6248.0,112.36964285714285,14,3,3,0
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,676.8000000000001,63.385000000000005,4,0,2,0
1,0,1,1,66,0,1,0,0,2,2,0,2,2,2,1,1,56.75,3708.4,3745.5,55.34925373134328,9,3,1,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25,69.25,69.25,34.625,2,0,2,1
1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,3,50.5,147.75,151.5,36.9375,3,0,1,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,5394.0,89.35573770491803,8,3,2,0
